province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time,time_diff
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-17,76.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-16,77.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2020-01-15,78.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-14,79.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-13,80.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-12,81.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-11,82.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-10,83.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-09,84.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-08,85.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-01-07,86.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2020-01-06,87.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-05,88.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-04,89.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-03,90.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-02,91.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2020-01-01,92.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-31,93.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-30,94.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-29,95.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-28,96.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-27,97.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-26,98.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-25,99.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-24,100.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8.0,,,2019-12-23,101.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-22,102.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-21,103.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-20,104.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-19,105.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2019-12-18,106.0
