province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-3
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-12-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-30
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-25
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-11-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-11-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-11-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-11-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2019-11-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2019-11-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-11-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2019-10-31
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-10-22
